"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","963","Should navigate to Rooms section","Chromium","Wed Jan 22 23:46:21 GMT 2025","failed","Wed Jan 22 23:46:22 GMT 2025","Homepage Tests","home.spec.ts","",""
"","31528","should navigate to Rooms section","Chromium","Wed Jan 22 23:24:26 GMT 2025","broken","Wed Jan 22 23:24:57 GMT 2025","Homepage Tests","home.spec.ts","",""
"","1718","Should navigate to Rooms section","Firefox","Wed Jan 22 23:38:48 GMT 2025","failed","Wed Jan 22 23:38:50 GMT 2025","Homepage Tests","home.spec.ts","",""
"","6175","should load homepage with correct title","Chromium","Wed Jan 22 23:23:12 GMT 2025","failed","Wed Jan 22 23:23:18 GMT 2025","Homepage Tests","home.spec.ts","",""
"","6437","Should load homepage with correct title","Firefox","Wed Jan 22 23:37:36 GMT 2025","failed","Wed Jan 22 23:37:42 GMT 2025","Homepage Tests","home.spec.ts","",""
"","30079","should navigate to Rooms section","Firefox","Wed Jan 22 23:24:19 GMT 2025","broken","Wed Jan 22 23:24:49 GMT 2025","Homepage Tests","home.spec.ts","",""
"","781","get started link","","Wed Jan 22 00:57:57 GMT 2025","passed","Wed Jan 22 00:57:58 GMT 2025","","ihs-wrk.spec.ts","",""
"","927","test","","Wed Jan 22 01:25:13 GMT 2025","passed","Wed Jan 22 01:25:14 GMT 2025","","rec.spec.ts","",""
"","2255","test","Firefox","Wed Jan 22 01:56:00 GMT 2025","passed","Wed Jan 22 01:56:02 GMT 2025","","rec.spec.ts","",""
"","793","test","Chromium","Wed Jan 22 23:51:44 GMT 2025","failed","Wed Jan 22 23:51:44 GMT 2025","","rec.spec.ts","",""
"","762","Should navigate to Rooms section and book a room","Chromium","Thu Jan 23 00:07:20 GMT 2025","passed","Thu Jan 23 00:07:20 GMT 2025","Homepage Tests","home.spec.ts","",""
"","10938","has title","","Wed Jan 22 00:57:46 GMT 2025","passed","Wed Jan 22 00:57:57 GMT 2025","","ihs-wrk.spec.ts","",""
"","5695","should load homepage with correct title","Webkit","Wed Jan 22 23:23:02 GMT 2025","failed","Wed Jan 22 23:23:08 GMT 2025","Homepage Tests","home.spec.ts","",""
"","30124","should navigate to Rooms section","Webkit","Wed Jan 22 23:24:12 GMT 2025","broken","Wed Jan 22 23:24:42 GMT 2025","Homepage Tests","home.spec.ts","",""
"","6460","should load homepage with correct title","Firefox","Wed Jan 22 23:23:05 GMT 2025","failed","Wed Jan 22 23:23:12 GMT 2025","Homepage Tests","home.spec.ts","",""
"","5928","Should load homepage with correct title","Webkit","Wed Jan 22 23:37:32 GMT 2025","failed","Wed Jan 22 23:37:38 GMT 2025","Homepage Tests","home.spec.ts","",""
"","9345","Should navigate to Rooms section","Webkit","Wed Jan 22 23:38:41 GMT 2025","failed","Wed Jan 22 23:38:51 GMT 2025","Homepage Tests","home.spec.ts","",""
"","2712","test","Webkit","Wed Jan 22 01:56:00 GMT 2025","passed","Wed Jan 22 01:56:03 GMT 2025","","rec.spec.ts","",""
"","611","Should load homepage with correct title","Chromium","Thu Jan 23 00:07:19 GMT 2025","passed","Thu Jan 23 00:07:19 GMT 2025","Homepage Tests","home.spec.ts","",""
